,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,class
Edges_X_Index,0.0917,0.084,1.95e-07,1.96e-07,2.91e-60,2.88e-76,1.11e-152,5.36e-63,0.00105,0.0589,0.000261,0.00325,2.78e-08,8.95e-47,4.51e-24,0.0319,0,0.000381,2.63e-45,9.2e-62,0.236,2.31e-161,5.15e-94,0.872,7.13e-80,0.000205
Edges_Y_Index,0.0889,0.268,0.103,0.103,1.65e-16,5.3e-118,1.04e-24,1.97e-24,3.09e-30,9.18e-18,0.000523,0.844,0.105,1.32e-96,7.68e-14,2.75e-158,0.000381,0,2.38e-59,2.57e-16,1.28e-152,0.981,3.54e-60,4.04e-28,4.5e-38,4.74e-16
Outside_Global_Index,0.599,0.361,0.00639,0.0064,5.17e-09,6.13e-07,4.48e-23,1.07e-06,1.48e-10,7.22e-14,0.995,0.018,1.66e-07,8.76e-08,2.44e-05,1.13e-49,2.63e-45,2.38e-59,0,2.16e-09,2.73e-54,4.17e-72,1.58e-319,9.95e-14,0.000717,0.524
LogOfAreas,0.00019,0.00112,0.0134,0.0134,0,2.78e-187,0,0,4.2e-10,0.00777,0.0182,0.809,9.13e-05,1.95e-23,1.15e-15,2.03e-97,9.2e-62,2.57e-16,2.16e-09,0,3.61e-98,9.01e-268,6.61e-21,3.86e-08,0,0.01
Log_X_Index,0.0278,0.146,0.214,0.214,8.45e-95,4.73e-249,8.09e-47,6.71e-108,0.256,6.61e-09,0.427,0.107,0.581,3.77e-69,0.00203,0,0.236,1.28e-152,2.73e-54,3.61e-98,0,1.63e-10,8.65e-64,0.000379,7.93e-136,0.00289
Log_Y_Index,0.00154,0.0024,4.75e-05,4.77e-05,1.55e-261,1.76e-77,0,1.01e-234,3.78e-08,1.03e-07,0.00335,0.0226,1.92e-12,1.72e-25,2.29e-21,2.34e-12,2.31e-161,0.981,4.17e-72,9.01e-268,1.63e-10,0,1.27e-142,3.8e-11,3.58e-251,0.000891
Orientation_Index,0.0826,0.0302,1.5e-05,1.5e-05,9.32e-21,0.00729,1.33e-53,4.83e-16,1.27e-10,4.3e-20,0.262,0.000254,4.92e-12,0.0026,8.23e-21,2.33e-56,5.15e-94,3.54e-60,1.58e-319,6.61e-21,8.65e-64,1.27e-142,0,1.28e-17,3.32e-12,0.138
Luminosity_Index,8.9e-10,1.56e-09,0.0177,0.0177,1.09e-07,0.00224,0.0208,0.679,0,3.73e-304,3.43e-08,1.68e-07,0.000262,3.1e-14,0.00234,2.29e-06,0.872,4.04e-28,9.95e-14,3.86e-08,0.000379,3.8e-11,1.28e-17,0,0.00439,0.00012
SigmoidOfAreas,0.000228,0.00158,0.00615,0.00616,0,1.06e-276,0,0,0.0109,0.263,0.000544,0.503,4.57e-05,4.66e-78,1.32e-18,5.74e-139,7.13e-80,4.5e-38,0.000717,0,7.93e-136,3.58e-251,3.32e-12,0.00439,0,0.000136
class,0.000719,0.00104,6.93e-16,6.96e-16,0.00551,7.2e-08,3.84e-08,0.00183,1.15e-07,0.334,0.00806,0.00388,1.09e-07,5.57e-11,7.28e-19,0.000457,0.000205,4.74e-16,0.524,0.01,0.00289,0.000891,0.138,0.00012,0.000136,0
